epoca;gen;ap;ac;nc;ng;areac;nr;mc;rgpla;icc;ngcap;mmg
E4;G190;72;59;11;38;0.310335059;1;0.22;0.14;0.636363636;3.454545455;3.684210526
E4;G191;71;62;9;37;0.31127636;0;0.22;0.16;0.727272727;4.111111111;4.324324324
E4;G192;70;55;8;61;0.324135909;0;0.3;0.25;0.833333333;7.625;4.098360656
E4;G193;74.5;74;11;45;0.267011398;0;0.23;0.15;0.652173913;4.090909091;3.333333333
E4;G194;66;60;12;73;0.301254187;0;0.34;0.21;0.617647059;6.083333333;2.876712329
E4;G195;74;57;27;169;0.308308308;0;1.02;0.73;0.715686275;6.259259259;4.319526627
E4;G196;71;53;27;107;0.279856507;2;0.74;0.49;0.662162162;3.962962963;4.579439252
E4;G197;63;44;22;122;0.277498946;2;0.73;0.53;0.726027397;5.545454545;4.344262295
E4;G198;63;55;12;36;0.257629892;0;0.27;0.14;0.518518519;3;3.888888889
E4;G199;64;54;14;59;0.294455313;0;0.37;0.2;0.540540541;4.214285714;3.389830508
E4;G200;65;51;20;126;0.31252397;0;0.7;0.51;0.728571429;6.3;4.047619048
E4;G201;78;64;23;83;0.275414915;0;0.56;0.33;0.589285714;3.608695652;3.975903614
E4;G202;57;51.5;8;26;0.269392789;0;0.15;0.12;0.8;3.25;4.615384615
E4;G203;58;50;19;102;0.270796877;0;0.59;0.39;0.661016949;5.368421053;3.823529412
E4;G204;71;63;9;62;0.273681147;0;0.3;0.2;0.666666667;6.888888889;3.225806452
E4;G205;81;59;55;164;0.237748483;4;0.99;0.56;0.565656566;2.981818182;3.414634146
E4;G206;73.5;53;38;189;0.284638323;2;1.03;0.64;0.621359223;4.973684211;3.386243386
E4;G207;78.8;65;17;71;0.282111945;0;0.51;0.3;0.588235294;4.176470588;4.225352113
E4;G208;62;54;12;49;0.245820585;0;0.28;0.16;0.571428571;4.083333333;3.265306122
E4;G209;63;59;12;35;0.226663937;0;0.2;0.09;0.45;2.916666667;2.571428571
E4;G210;67;60.8;10;35;0.246454398;0;0.26;0.18;0.692307692;3.5;5.142857143
E4;G211;63;53;19;79;0.254663034;0;0.43;0.28;0.651162791;4.157894737;3.544303797
E4;G212;64;57;14;69;0.254350764;0;0.36;0.23;0.638888889;4.928571429;3.333333333
E4;G213;60;53;9;38;0.284084625;0;0.22;0.1;0.454545455;4.222222222;2.631578947
E4;G214;59;55;6;35;0.267445884;0;0.17;0.11;0.647058824;5.833333333;3.142857143
E1;G215;69;48;34;233;0.403030443;3;1.97;1.59;0.807106599;6.852941176;6.824034335
E1;G216;79;50;50;279;0.317880211;2;2.53;1.78;0.703557312;5.58;6.379928315
E1;G217;64;53;20;125;0.443768997;1;;0.78;;6.25;6.24
E1;G218;76.5;46;36;161;0.322996091;2;1.36;0.85;0.625;4.472222222;5.279503106
E1;G219;85.5;51;17;121;0.468788254;3;0.93;0.71;0.76344086;7.117647059;5.867768595
E1;G220;108;75;;;;5;2.83;2.05;0.724381625;;
E1;G221;74;47.5;;;;1;2.03;0.9;0.443349754;;
E1;G222;86;54;53;416;0.482656706;3;3.47;2.65;0.763688761;7.849056604;6.370192308
E1;G223;105;61;37;288;0.414801404;1;1.76;1.24;0.704545455;7.783783784;4.305555556
E1;G224;86;50;31;246;0.412590657;1;1.63;1.2;0.736196319;7.935483871;4.87804878
E1;G225;84;41.5;19;153;0.407786648;2;1.18;0.89;0.754237288;8.052631579;5.816993464
E1;G226;89;55;41;250;0.392071318;2;1.69;1.22;0.721893491;6.097560976;4.88
E1;G227;63;40;;672;;6;4.63;3.41;0.73650108;;5.074404762
E1;G228;86;44;125;992;0.479057124;3;7.06;5.44;0.770538244;7.936;5.483870968
E1;G229;85;51;13;105;0.390193237;1;0.68;0.42;0.617647059;8.076923077;4
E1;G230;74;42;63;339;0.389286755;4;2.63;1.74;0.661596958;5.380952381;5.132743363
E1;G231;92;62;;135;;3;0.62;0.3;0.483870968;;2.222222222
E1;G232;78;40;36;256;0.35142738;3;1.75;1.4;0.8;7.111111111;5.46875
E1;G233;77;34;68;455;0.391460027;3;2.56;1.93;0.75390625;6.691176471;4.241758242
E1;G234;87;62;5;39;0.294337964;1;0.14;0.12;5.714285714;7.8;3.07
E1;G235;86;61;9;74;0.412821576;2;0.46;0.24;0.52173913;8.222222222;3.243243243
